trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.5, 'e': 0.7518057291408949}",20,0,-128.24341621723147,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.7451744023448704}",25,0,-142.19821495772294,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.7384685587295879}",25,0,-120.3482521607387,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.7316888688738209}",25,0,-77.90778712043642,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.7248360107409052}",25,0,-5.025488404872694,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.7179106696109434}",20,14,-2.0676913186939894,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,12,-29.0630873116693,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.7038453156522361}",20,0,-184.10834567777258,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.6967067093471654}",20,0,-21.972401601134017,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.689498432951747}",20,7,-68.97123782666425,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.6822212072876135}",20,0,-50.87469847294712,"{0: 15, 1: 2, 2: 0, 3: 3, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.674875760071267}",25,0,-156.42705326015795,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.6674628258413081}",20,10,-12.265104019514647,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.6599831458849822}",20,0,-142.54991249130984,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.6524374681640519}",25,7,-37.638379346315986,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.6448265472400012}",20,0,-159.63925990183765,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.6371511441985802}",20,9,-64.61495886966954,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.6294120265736969}",20,0,-46.95542190783754,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.6216099682706644}",20,5,-47.42037721813603,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.6137457494888116}",30,0,-78.14169085801548,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.6058201566434628}",20,6,-75.92041190914098,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.5978339822872982}",20,0,-100.77815943445755,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.5897880250310982}",20,12,-4.319088082687855,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5816830894638835}",25,0,-34.48684454195803,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5735199860724567}",20,3,-103.41512180957156,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 2}",1
97,False,"{'a': 0.5, 'e': 0.5652995311603544}",20,0,-1.975216505049317,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5570225467662173}",25,19,-0.01130614154644971,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5486898605815875}",25,0,-63.998287685925526,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,0,-48.54409082916022,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.5318607213743555}",35,0,-154.25050793510522,"{0: 25, 1: 1, 2: 4, 3: 3, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.5233659512516495}",20,1,-59.16373202139391,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5148188449699553}",30,0,-53.20384997344033,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.5062202572327784}",30,10,-55.26080554012477,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.49757104789172696}",30,14,17.021886984445242,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.4888720818605275}",20,9,-32.10577310506822,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.4801242290285341}",25,0,-81.66375478611626,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.47132836417373997}",20,7,-2.6964643479052874,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4624853668753008}",25,3,-54.9084215434325,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.4535961214255773}",30,0,-122.07771657360084,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.4446615167417068}",20,4,-18.794011222516666,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.4356824462767121}",30,0,-131.45692339534054,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.42665980793015723}",20,10,4.766925765197645,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.41759450395835795}",20,13,-6.2842123429532375,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.40848744088415717}",25,0,-9.779080020770367,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.3993395294062732}",20,0,-84.57895836671148,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
